date,course,hole,par,distance,handicap,score,fairway,green,putts,chips,penalties,to_par
4/14/2025,East Potomac Golf Links - Blue Course,8,3,196,9,5,,right,1,3,0,2
4/14/2025,East Potomac Golf Links - Blue Course,9,4,336,11,6,short,nochance,2,1,0,2
4/14/2025,East Potomac Golf Links - Blue Course,10,4,302,16,5,short,nochance,2,0,0,1
4/14/2025,East Potomac Golf Links - Blue Course,11,3,167,14,3,,hit,2,0,0,0
4/14/2025,East Potomac Golf Links - Blue Course,12,5,456,10,5,right,long,1,1,0,0
4/14/2025,East Potomac Golf Links - Blue Course,13,4,354,8,4,hit,short,1,1,0,0
4/14/2025,East Potomac Golf Links - Blue Course,14,4,389,4,7,right,nochance,2,1,1,3
4/14/2025,East Potomac Golf Links - Blue Course,15,3,162,18,3,,short,1,1,0,0
4/14/2025,East Potomac Golf Links - Blue Course,16,4,419,2,5,right,nochance,1,1,0,1
4/14/2025,East Potomac Golf Links - Blue Course,17,5,546,6,8,short,nochance,2,1,0,3
4/14/2025,East Potomac Golf Links - Blue Course,18,4,371,12,7,right,nochance,3,2,0,3
4/6/2025,Langston (Legacy),1,5,465,10,6,hit,hit,3,1,0,1
4/6/2025,Langston (Legacy),2,4,376,9,5,right,nochance,2,0,0,1
4/6/2025,Langston (Legacy),3,5,492,1,6,hit,nochance,1,3,0,1
4/6/2025,Langston (Legacy),4,3,157,16,5,,left,3,1,0,2
4/6/2025,Langston (Legacy),5,4,350,17,6,right,short,2,2,0,2
4/6/2025,Langston (Legacy),6,4,358,12,5,right,nochance,2,1,0,1
4/6/2025,Langston (Legacy),7,4,328,18,5,right,right,2,1,0,1
4/6/2025,Langston (Legacy),8,3,194,8,4,,short,1,1,0,1
4/6/2025,Langston (Legacy),9,4,388,5,5,hit,hit,3,0,0,1
3/28/2025,East Potomac Golf Links - Blue Course,1,4,343,7,5,left,short,2,1,0,1
3/28/2025,East Potomac Golf Links - Blue Course,2,4,377,3,5,hit,short,2,1,0,1
